LoanTypeName,EmployerName,TheLoanBal,Boundery
8,0,5000,1
3,0,89214,1
11,1,45107,1
1,0,7600000,1
19,0,6916667,1
8,0,58009,1
8,0,15000,1
1,1,340500,1
3,0,350000,1
3,0,73244,1
3,0,833332,1
16,1,6664,1
20,1,141787,1
19,1,4350352,1
3,0,166666,1
3,1,11268,1
1,1,2030000,1
10,1,205188,1
20,1,185498,1
10,0,1686800,1
18,0,143000,1
20,1,347416,1
7,1,9000,1
2,0,30000,1
10,1,45352,1
20,1,200623,1
11,1,185084,1
7,1,25000,1
20,1,14654,1
3,0,50000,1
3,0,566658,1
20,1,232000,1
7,1,1700,1
8,1,147500,1
17,1,11200,1
3,0,91666,1
8,1,933332,1
8,1,131248,1
11,1,-0.1,1
8,0,-23,1
8,0,-51,1
9,1,10000,1
8,0,-9,1
8,0,-85,1
2,1,40000,1
20,1,510696.56,1
10,1,794842,1
2,1,-11850,1
10,1,2678281,1
7,1,9000,1
20,1,180000,1
8,0,-138,1
20,1,464040,1
8,0,-0.6,1
8,0,-46.1,1
8,0,-7,1
20,1,40622,1
16,1,6664,1
18,1,86664,1
8,0,-0.75,1
8,0,-51,1
8,0,-0.65,1
8,0,-0.12,1
8,0,-0.45,1
20,1,132916,1
2,1,74998,1
7,1,20000,1
10,1,290015,1
20,1,90000,1
16,1,5830,1
8,0,-0.78,1
2,1,16666,1
17,1,233332,1
7,1,7000,1
10,1,208758,1
20,1,41664,1
20,1,138850,1
18,1,150000,1
8,0,-0.91,1
6,1,52000,1
20,1,76500,1
17,1,77333,1
10,1,302966.5,1
7,1,4200,1
13,1,6000,1
20,1,168328,1
16,1,17500,1
2,1,9998,1
18,1,42666,1
16,1,27500,1
2,1,17500,1
20,1,414000,1
10,1,-0.25,1
16,1,6660,1
20,1,31500,1
20,1,160055,1
8,0,-14.46,1
10,1,-12,1
7,1,15000,1
10,1,183575,1
6,1,95000,1
1,0,3866666,1
10,0,1195450,1
8,0,-0.43,1
20,1,504164,1
20,1,428437,1
11,1,-173,1
20,1,40000,1
11,1,-33,1
2,1,33331,1
6,1,84500,1
7,1,1500,1
9,1,4000,1
10,1,417879,1
10,1,-3560,1
7,1,12000,1
10,1,425500,1
10,1,-0.5,1
10,1,-1,1
16,1,30000,1
20,1,507935,1
20,1,87496,1
20,1,231125,1
10,1,835000,1
20,1,411250,1
