,Interest,RepaymentPeriod,LoanAmount,EmployerName,InstallmentAmount,Boundery,LoanTypeName,YoB
0,1.0,12,30000.0,0,2500.0,1,8,1981.0
1,1.0,18,200000.0,0,11111.111111111111,1,3,1962.0
2,1.25,48,127350.0,1,2653.125,1,11,1946.0
7,1.0,30,1000000.0,1,33333.333333333336,1,1,1940.0
8,1.0,15,350000.0,0,23333.333333333332,1,3,1970.0
10,1.0,36,1000000.0,0,27777.777777777777,1,3,1980.0
11,1.0,12,10000.0,1,833.3333333333334,1,16,1955.0
12,1.25,48,166000.0,1,3458.3333333333335,1,20,1955.0
13,1.0,84,5000000.0,1,59523.80952380953,1,19,1990.0
14,1.0,30,200000.0,0,6666.666666666667,1,3,1966.0
15,1.0,12,150000.0,1,12500.0,1,3,1987.0
17,1.15,48,259188.0,1,5399.75,1,10,1960.0
18,1.25,48,212000.0,1,4416.666666666667,1,20,1948.0
19,1.15,84,1914750.0,0,22794.64285714286,1,10,1984.0
21,1.25,48,379000.0,1,7895.833333333333,1,20,1954.0
22,10.0,1,9000.0,1,9000.0,1,7,1954.0
23,1.0,12,45000.0,0,3750.0,1,2,1976.0
24,1.15,48,155512.0,1,3239.8333333333335,1,10,1949.0
25,1.25,48,214000.0,1,4458.333333333333,1,20,1949.0
26,1.25,60,462788.0,1,7713.133333333333,1,11,1950.0
27,10.0,1,25000.0,1,25000.0,1,7,1950.0
28,1.25,30,40000.0,1,1333.3333333333333,1,20,1950.0
29,1.0,12,50000.0,0,4166.666666666667,1,3,1990.0
30,1.0,30,1000000.0,0,33333.333333333336,1,3,1980.0
31,1.25,48,232000.0,1,4833.333333333333,1,20,1970.0
32,10.0,1,1700.0,1,1700.0,1,7,1970.0
34,1.15,20,56000.0,1,2800.0,1,17,1950.0
36,1.0,36,1000000.0,1,27777.777777777777,1,8,2015.0
38,1.45,72,698550.0,1,9702.083333333334,1,11,1952.0
39,1.0,24,60000.0,0,2500.0,1,8,1972.0
40,1.0,24,30000.0,0,1250.0,1,8,1958.0
41,10.0,1,10000.0,1,10000.0,1,9,1955.0
42,1.0,12,20000.0,0,1666.6666666666667,1,8,1949.0
43,1.0,24,120000.0,0,5000.0,1,8,1980.0
44,1.0,12,40000.0,1,3333.3333333333335,1,2,1940.0
45,1.25,48,570000.0,1,11875.0,1,20,1954.0
46,1.15,48,829400.0,1,17279.166666666668,1,10,1954.0
47,1.0,12,60000.0,1,5000.0,1,2,1956.0
48,1.15,48,4147000.0,1,86395.83333333333,1,10,1960.0
